"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"dependent.var64","stop_points_location.sarin","na","NA","NA","0.03 (-0.02-0)",NA,-0.0201516758422335,0.0826516758422335,NA,NA,NA
"dependent.var65","stop_points_location.al_bab","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var66","stop_points_location.a_rima","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var67","stop_points_location.ar_raee","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var68","stop_points_location.dayr_hafir","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var69","stop_points_location.eastern_kwaires.",NA,NA,"NA","NA ",NA,NA,NA,NA,NA,NA
"dependent.var70","stop_points_location.rasm_haram_el_imam","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var71","stop_points_location.tadaf","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var72","stop_points_location.as_safira","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var73","stop_points_location.banan","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var74","stop_points_location.hajeb","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var75","stop_points_location.khanaser","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var76","stop_points_location.aghtrin","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var77","stop_points_location.azaz","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var78","stop_points_location.mare","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var79","stop_points_location.nabul","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var80","stop_points_location.suran","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var81","stop_points_location.tall_refaat","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var82","stop_points_location.ghandorah","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var83","stop_points_location.jarablus","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var84","stop_points_location.atareb","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var85","stop_points_location.daret_azza","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var86","stop_points_location.hadher","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var87","stop_points_location.haritan","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var88","stop_points_location.jebel_saman","na","NA","NA","0",NA,0,0,NA,NA,NA
"dependent.var89","stop_points_location.tall_ed_daman","na","NA","NA","0",NA,0,0,NA,NA,NA
